ExtractDate,FHRSID,name,rating,price,type,BusinessTypeID,addressLine2,addressLine3,postcode,ratingDate,lon,lat,keywordData,Takeaway
14/02/2014,19429,(Starbucks),4,3,Restaurant/Cafe/Canteen,1,390 Provan Walk,Glasgow,G34 9DL,01/11/2011,-4.136909,55.872982,coffee snacks,T
14/02/2014,36362,2 Go,5,2,Restaurant/Cafe/Canteen,1,397 Dumbarton Road,Glasgow,G11 6BE,03/09/2013,-4.308613,55.870617,snacks coffee fastfood,T
14/02/2014,507934,200 St Vincent Street,3,2,Restaurant/Cafe/Canteen,1,200 St Vincent Street,Glasgow,G2 5SG,06/02/2013,-4.260957,55.86229,traditional pub,T
14/02/2014,95689,279 Cafe Bistro,1,2,Restaurant/Cafe/Canteen,1,279 Dumbarton Road,Glasgow,G11 6AB,22/05/2012,-4.303939,55.870516,coffee sandwiches cafe,RT
14/02/2014,110587,32nd Signal Regiment (v),3,1,Restaurant/Cafe/Canteen,1,21 Jardine Street,Glasgow,G20 6JU,24/05/2011,-4.277246,55.877088,coffee sandwiches cafe,RT
14/02/2014,10859,7 Day Catering Ltd  -Staff Canteen,4,1,Restaurant/Cafe/Canteen,1,53 Coltness Street,Glasgow,G33 4JD,13/09/2011,-4.152553,55.863938,healthy milkshakes,R
14/02/2014,406755,7th Heaven,2,1,Restaurant/Cafe/Canteen,1,15 Elmbank Gardens,Glasgow,G2 4NQ,06/06/2012,-4.270439,55.865108,cafe pub sandwiches,T
14/02/2014,556088,916 - Diner,5,2,Restaurant/Cafe/Canteen,1,916 Sauchiehall Street,Glasgow,G3 7TF,06/06/2013,-4.284479,55.865774,seafood sophisticated cocktails,RT
14/02/2014,31114,Abercromby Cafe,5,2,Restaurant/Cafe/Canteen,1,168 Abercromby Street,Glasgow,G40 2RZ,22/10/2013,-4.229148,55.852688,burger pub cafe,T
14/02/2014,36313,Abercromby Catering And Vending,5,3,Restaurant/Cafe/Canteen,1,8 Arrol Road,Glasgow,G40 3DQ,12/02/2013,-4.213875,55.84625,cafe milkshakes snacks,T
